skewness,replicate,gini,concentration,method,eco_weight,budget_fraction,compressed_units,mean_alt_index,n_cheapest,n_best_conservation,n_unique_alts
uniform,0,0.26908936298300357,0.08250967732647223,global_linear,0.5,0.15,0,0.5454545454545454,14,0,4
uniform,0,0.26908936298300357,0.08250967732647223,global_linear,0.5,0.3,0,0.5454545454545454,14,0,4
uniform,0,0.26908936298300357,0.08250967732647223,global_linear,0.5,0.5,0,0.5454545454545454,14,0,4
uniform,0,0.26908936298300357,0.08250967732647223,global_linear,0.8,0.15,0,0.9090909090909091,14,1,5
uniform,0,0.26908936298300357,0.08250967732647223,global_linear,0.8,0.3,0,1.9545454545454546,12,4,6
uniform,0,0.26908936298300357,0.08250967732647223,global_linear,0.8,0.5,0,3.5454545454545454,7,9,6
uniform,0,0.26908936298300357,0.08250967732647223,vector,0.5,0.15,4,0.0,22,0,1
uniform,0,0.26908936298300357,0.08250967732647223,vector,0.5,0.3,4,0.0,22,0,1
uniform,0,0.26908936298300357,0.08250967732647223,vector,0.5,0.5,4,0.0,22,0,1
uniform,0,0.26908936298300357,0.08250967732647223,vector,0.8,0.15,4,0.5,14,0,4
uniform,0,0.26908936298300357,0.08250967732647223,vector,0.8,0.3,4,0.5,14,0,4
uniform,0,0.26908936298300357,0.08250967732647223,vector,0.8,0.5,4,0.5,14,0,4
uniform,0,0.26908936298300357,0.08250967732647223,within_unit,0.5,0.15,0,0.8636363636363636,9,0,4
uniform,0,0.26908936298300357,0.08250967732647223,within_unit,0.5,0.3,0,1.9090909090909092,4,1,7
uniform,0,0.26908936298300357,0.08250967732647223,within_unit,0.5,0.5,0,3.409090909090909,2,3,8
uniform,0,0.26908936298300357,0.08250967732647223,within_unit,0.8,0.15,0,0.9090909090909091,8,0,4
uniform,0,0.26908936298300357,0.08250967732647223,within_unit,0.8,0.3,0,2.090909090909091,2,0,6
uniform,0,0.26908936298300357,0.08250967732647223,within_unit,0.8,0.5,0,3.8636363636363638,1,5,7
uniform,1,0.31517361399762356,0.08226620231887978,global_linear,0.5,0.15,0,0.4090909090909091,18,0,4
uniform,1,0.31517361399762356,0.08226620231887978,global_linear,0.5,0.3,0,0.4090909090909091,18,0,4
uniform,1,0.31517361399762356,0.08226620231887978,global_linear,0.5,0.5,0,0.4090909090909091,18,0,4
uniform,1,0.31517361399762356,0.08226620231887978,global_linear,0.8,0.15,0,0.9545454545454546,14,1,5
uniform,1,0.31517361399762356,0.08226620231887978,global_linear,0.8,0.3,0,2.1818181818181817,10,3,6
uniform,1,0.31517361399762356,0.08226620231887978,global_linear,0.8,0.5,0,3.5454545454545454,8,4,6
uniform,1,0.31517361399762356,0.08226620231887978,vector,0.5,0.15,6,0.0,22,0,1
uniform,1,0.31517361399762356,0.08226620231887978,vector,0.5,0.3,6,0.0,22,0,1
uniform,1,0.31517361399762356,0.08226620231887978,vector,0.5,0.5,6,0.0,22,0,1
uniform,1,0.31517361399762356,0.08226620231887978,vector,0.8,0.15,6,0.4090909090909091,18,0,4
uniform,1,0.31517361399762356,0.08226620231887978,vector,0.8,0.3,6,0.4090909090909091,18,0,4
uniform,1,0.31517361399762356,0.08226620231887978,vector,0.8,0.5,6,0.4090909090909091,18,0,4
uniform,1,0.31517361399762356,0.08226620231887978,within_unit,0.5,0.15,0,0.9090909090909091,9,0,5
uniform,1,0.31517361399762356,0.08226620231887978,within_unit,0.5,0.3,0,2.0,4,0,6
uniform,1,0.31517361399762356,0.08226620231887978,within_unit,0.5,0.5,0,3.4545454545454546,3,1,8
uniform,1,0.31517361399762356,0.08226620231887978,within_unit,0.8,0.15,0,1.0,10,0,6
uniform,1,0.31517361399762356,0.08226620231887978,within_unit,0.8,0.3,0,2.1818181818181817,6,0,7
uniform,1,0.31517361399762356,0.08226620231887978,within_unit,0.8,0.5,0,3.8181818181818183,0,3,7
uniform,2,0.22843728033097022,0.06980665334196254,global_linear,0.5,0.15,0,0.8636363636363636,14,0,5
uniform,2,0.22843728033097022,0.06980665334196254,global_linear,0.5,0.3,0,1.2727272727272727,13,1,6
uniform,2,0.22843728033097022,0.06980665334196254,global_linear,0.5,0.5,0,1.2727272727272727,13,1,6
uniform,2,0.22843728033097022,0.06980665334196254,global_linear,0.8,0.15,0,1.0,13,1,6
uniform,2,0.22843728033097022,0.06980665334196254,global_linear,0.8,0.3,0,2.1818181818181817,11,4,6
uniform,2,0.22843728033097022,0.06980665334196254,global_linear,0.8,0.5,0,3.6818181818181817,5,6,6
uniform,2,0.22843728033097022,0.06980665334196254,vector,0.5,0.15,3,0.045454545454545456,21,0,2
uniform,2,0.22843728033097022,0.06980665334196254,vector,0.5,0.3,3,0.045454545454545456,21,0,2
uniform,2,0.22843728033097022,0.06980665334196254,vector,0.5,0.5,3,0.045454545454545456,21,0,2
uniform,2,0.22843728033097022,0.06980665334196254,vector,0.8,0.15,3,0.4090909090909091,15,0,3
uniform,2,0.22843728033097022,0.06980665334196254,vector,0.8,0.3,3,0.4090909090909091,15,0,3
uniform,2,0.22843728033097022,0.06980665334196254,vector,0.8,0.5,3,0.4090909090909091,15,0,3
uniform,2,0.22843728033097022,0.06980665334196254,within_unit,0.5,0.15,0,0.9545454545454546,10,0,5
uniform,2,0.22843728033097022,0.06980665334196254,within_unit,0.5,0.3,0,1.9545454545454546,5,0,7
uniform,2,0.22843728033097022,0.06980665334196254,within_unit,0.5,0.5,0,3.4545454545454546,0,0,6
uniform,2,0.22843728033097022,0.06980665334196254,within_unit,0.8,0.15,0,0.9545454545454546,9,0,4
uniform,2,0.22843728033097022,0.06980665334196254,within_unit,0.8,0.3,0,2.227272727272727,2,0,6
uniform,2,0.22843728033097022,0.06980665334196254,within_unit,0.8,0.5,0,3.8181818181818183,0,2,7
uniform,3,0.22381892891426802,0.07582329231004525,global_linear,0.5,0.15,0,0.7727272727272727,13,0,5
uniform,3,0.22381892891426802,0.07582329231004525,global_linear,0.5,0.3,0,0.9090909090909091,13,0,5
uniform,3,0.22381892891426802,0.07582329231004525,global_linear,0.5,0.5,0,0.9090909090909091,13,0,5
uniform,3,0.22381892891426802,0.07582329231004525,global_linear,0.8,0.15,0,0.9545454545454546,15,0,4
uniform,3,0.22381892891426802,0.07582329231004525,global_linear,0.8,0.3,0,2.090909090909091,10,2,6
uniform,3,0.22381892891426802,0.07582329231004525,global_linear,0.8,0.5,0,3.5454545454545454,6,5,6
uniform,3,0.22381892891426802,0.07582329231004525,vector,0.5,0.15,0,0.045454545454545456,21,0,2
uniform,3,0.22381892891426802,0.07582329231004525,vector,0.5,0.3,0,0.045454545454545456,21,0,2
uniform,3,0.22381892891426802,0.07582329231004525,vector,0.5,0.5,0,0.045454545454545456,21,0,2
uniform,3,0.22381892891426802,0.07582329231004525,vector,0.8,0.15,0,0.5,15,0,4
uniform,3,0.22381892891426802,0.07582329231004525,vector,0.8,0.3,0,0.5,15,0,4
uniform,3,0.22381892891426802,0.07582329231004525,vector,0.8,0.5,0,0.5,15,0,4
uniform,3,0.22381892891426802,0.07582329231004525,within_unit,0.5,0.15,0,0.9090909090909091,10,0,4
uniform,3,0.22381892891426802,0.07582329231004525,within_unit,0.5,0.3,0,1.9545454545454546,3,0,6
uniform,3,0.22381892891426802,0.07582329231004525,within_unit,0.5,0.5,0,3.272727272727273,1,2,8
uniform,3,0.22381892891426802,0.07582329231004525,within_unit,0.8,0.15,0,0.9090909090909091,10,0,4
