method,roadside_built,paddock,te_count,te_min,te_max,te_spread
global_linear,False,1,0.0,0.0001564093948864401,0.0001564093948864401,0.0
global_linear,False,2,3.0,0.001488206731291309,0.016137977431744867,0.014649770700453557
global_linear,False,3,9.0,0.004151801404101047,0.03806623323488037,0.03391443183077932
global_linear,False,4,8.0,0.0036505935706599704,0.030175534045291285,0.026524940474631314
global_linear,False,5,58.0,0.025904491232047237,0.24156017657652606,0.21565568534447882
global_linear,False,6,6.0,0.002820004067696178,0.02978476269507149,0.02696475862737531
global_linear,False,7,28.0,0.01258651786799855,0.14364983681586702,0.13106331894786846
global_linear,False,8,216.0,0.096045817616037,1.0,0.903954182383963
global_linear,False,10,2.0,0.0006739601585530959,0.007315845387221386,0.006641885228668289
global_linear,False,11,4.0,0.0,0.012465914826043551,0.012465914826043551
global_linear,False,12,5.0,0.001539232985415246,0.01766797488457932,0.01612874189916407
global_linear,False,13,1.0,0.0006003418403547297,0.004040533495627348,0.0034401916552726183
global_linear,False,14,2.0,0.0009977486859479045,0.007340631321658382,0.006342882635710477
global_linear,False,15,0.0,0.0001564093948864401,0.0001564093948864401,0.0
global_linear,False,16,2.0,4.71572043190523e-05,0.006091009273441307,0.0060438520691222545
global_linear,False,17,13.0,0.0033871051850647067,0.04112251198324005,0.037735406798175344
global_linear,False,18,21.0,0.008634219512966558,0.06901035645785526,0.060376136944888706
global_linear,False,19,28.0,0.011615461619540116,0.09681885912715175,0.08520339750761163
global_linear,False,20,5.0,0.002115207649286555,0.017855230712185182,0.015740023062898626
global_linear,False,21,16.0,0.007259328522379075,0.06164158053459184,0.054382252012212765
global_linear,False,22,6.0,0.002820004067696178,0.02507275995398715,0.02225275588629097
global_linear,True,1,0.0,5.360170083706313e-05,5.360170083706313e-05,0.0
global_linear,True,2,3.0,0.003712390334772121,0.016252421697860384,0.012540031363088263
global_linear,True,3,9.0,0.008392809126588852,0.03874112547964306,0.03034831635305421
global_linear,True,4,8.0,0.004112304368572781,0.030516811003251435,0.026404506634678655
global_linear,True,5,58.0,0.041575215158955764,0.2421652691289906,0.20059005397003485
global_linear,True,6,6.0,0.00635331759575091,0.029741479578355035,0.023388161982604124
global_linear,True,7,28.0,0.03068725898424866,0.14362032563915483,0.11293306665490617
global_linear,True,8,216.0,0.2064162262104626,1.0,0.7935837737895374
global_linear,True,10,2.0,0.0006813193049675627,0.007290163567711618,0.006608844262744055
