method,scenario,budget,budget_M,roadside_built,total_cost,n_conservation_alts,n_alt3,n_unique_alts,te_score,habitat_score,recreationist_score,hunter_score,rancher_score,alt_distribution
global_linear,Balanced,5000000,5.0,True,4979879.2719159685,0,1,3,0.389004271931069,0.6808503947229183,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
global_linear,Balanced,10000000,10.0,True,9987978.828631904,0,3,4,0.44383434063910226,0.9979891045825106,5.888888888888889,15.61111111111111,12.583333333333334,"{""1"": 2, ""3"": 3, ""10"": 5, ""11"": 11}"
global_linear,Balanced,20000000,20.0,False,19994468.133580524,0,15,4,0.40804717823427716,0.9641875487142486,13.222222222222218,16.111111111111114,15.958333333333332,"{""1"": 3, ""3"": 15, ""10"": 1, ""11"": 2}"
global_linear,Balanced,40000000,40.0,True,26272713.404053356,1,20,2,1.1613300660842125,0.545910598825616,15.333333333333332,15.94444444444445,16.833333333333336,"{""3"": 20, ""7"": 1}"
global_linear,Balanced,60000000,60.0,True,26272713.404053356,1,20,2,1.1613300660842125,0.545910598825616,15.333333333333332,15.94444444444445,16.833333333333336,"{""3"": 20, ""7"": 1}"
global_linear,Conservation priority,5000000,5.0,True,4986330.577044,0,0,2,0.4114373270993378,0.796625075770023,0.4444444444444444,14.33333333333333,11.25,"{""1"": 2, ""11"": 19}"
global_linear,Conservation priority,10000000,10.0,True,9985051.616256872,2,4,5,0.7724435290307111,1.5797947211724648,4.888888888888889,13.722222222222221,11.208333333333332,"{""1"": 1, ""3"": 4, ""4"": 1, ""7"": 1, ""11"": 14}"
global_linear,Conservation priority,20000000,20.0,True,19981610.460063744,2,8,5,1.2868848835937408,1.694986547431197,10.888888888888884,14.888888888888893,13.416666666666666,"{""1"": 4, ""3"": 8, ""7"": 2, ""10"": 2, ""11"": 5}"
global_linear,Conservation priority,40000000,40.0,True,37278298.67029959,7,13,3,1.694325440460184,2.4448572161845816,15.111111111111109,12.611111111111114,12.75,"{""1"": 1, ""3"": 13, ""7"": 7}"
global_linear,Conservation priority,60000000,60.0,True,37278298.67029959,7,13,3,1.694325440460184,2.4448572161845816,15.111111111111109,12.611111111111114,12.75,"{""1"": 1, ""3"": 13, ""7"": 7}"
global_linear,T&E emphasis,5000000,5.0,True,4737198.105869,1,0,2,0.7066304495591782,0.6901629472485075,0.3333333333333333,13.888888888888884,10.333333333333334,"{""4"": 1, ""11"": 20}"
global_linear,T&E emphasis,10000000,10.0,True,9979074.320331968,1,1,5,1.2160128725994732,1.0094882999885628,3.3333333333333335,14.444444444444445,11.708333333333332,"{""1"": 3, ""3"": 1, ""7"": 1, ""10"": 1, ""11"": 15}"
global_linear,T&E emphasis,20000000,20.0,True,19928554.807771713,1,9,5,1.2876216681354695,1.1330580744882914,11.222222222222216,15.777777777777782,14.541666666666666,"{""1"": 5, ""3"": 9, ""7"": 1, ""10"": 2, ""11"": 4}"
global_linear,T&E emphasis,40000000,40.0,True,35162052.72899349,5,16,2,1.601849230571909,2.0396797962106614,15.333333333333332,13.722222222222227,14.166666666666666,"{""3"": 16, ""7"": 5}"
global_linear,T&E emphasis,60000000,60.0,True,35162052.72899349,5,16,2,1.601849230571909,2.0396797962106614,15.333333333333332,13.722222222222227,14.166666666666666,"{""3"": 16, ""7"": 5}"
global_linear,Habitat emphasis,5000000,5.0,True,4661576.028596,0,0,2,0.4041837408236634,0.8919883901648603,0.2222222222222222,14.166666666666663,10.875,"{""1"": 1, ""11"": 20}"
global_linear,Habitat emphasis,10000000,10.0,True,9991374.243299969,1,1,5,0.4765357992639072,1.6754615049748653,4.111111111111111,14.444444444444445,11.708333333333334,"{""1"": 3, ""3"": 1, ""7"": 1, ""10"": 3, ""11"": 13}"
global_linear,Habitat emphasis,20000000,20.0,True,19995236.41605168,2,10,5,0.5718239954081384,2.101026712866836,12.222222222222218,14.27777777777778,13.125,"{""1"": 4, ""3"": 10, ""7"": 2, ""10"": 1, ""11"": 4}"
global_linear,Habitat emphasis,40000000,40.0,True,35901058.83129362,8,12,3,1.6204677350157097,2.6518118135005246,15.111111111111109,12.055555555555557,12.083333333333332,"{""1"": 1, ""3"": 12, ""7"": 8}"
global_linear,Habitat emphasis,60000000,60.0,True,35901058.83129362,8,12,3,1.6204677350157097,2.6518118135005246,15.111111111111109,12.055555555555557,12.083333333333332,"{""1"": 1, ""3"": 12, ""7"": 8}"
global_linear,Community priority,5000000,5.0,True,4979879.2719159685,0,1,3,0.389004271931069,0.6808503947229183,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
global_linear,Community priority,10000000,10.0,False,9961939.043288872,0,4,4,0.3722787031867076,0.9312014743364917,6.0,15.38888888888889,12.791666666666668,"{""1"": 3, ""3"": 4, ""10"": 3, ""11"": 11}"
global_linear,Community priority,20000000,20.0,False,19992216.31836652,0,15,3,0.3531128707369131,0.49361317639719837,13.666666666666663,16.22222222222223,15.666666666666666,"{""3"": 15, ""10"": 3, ""11"": 3}"
global_linear,Community priority,40000000,40.0,True,23782387.46941933,0,21,1,0.3916998613853668,0.5349168467958108,15.333333333333332,16.22222222222223,17.166666666666668,"{""3"": 21}"
global_linear,Community priority,60000000,60.0,True,23782387.46941933,0,21,1,0.3916998613853668,0.5349168467958108,15.333333333333332,16.22222222222223,17.166666666666668,"{""3"": 21}"
global_linear,Rancher-conservation,5000000,5.0,True,4986330.577044,0,0,2,0.4114373270993378,0.796625075770023,0.4444444444444444,14.33333333333333,11.25,"{""1"": 2, ""11"": 19}"
global_linear,Rancher-conservation,10000000,10.0,True,9970890.461477937,0,2,4,0.44299378827205066,1.1006302687175507,3.8888888888888893,15.55555555555556,13.666666666666668,"{""1"": 6, ""3"": 2, ""10"": 2, ""11"": 11}"
global_linear,Rancher-conservation,20000000,20.0,True,19956995.61458855,0,14,3,0.6687965842091335,1.0647081682826292,11.44444444444444,16.16666666666667,16.333333333333336,"{""1"": 6, ""3"": 14, ""11"": 1}"
global_linear,Rancher-conservation,40000000,40.0,True,26272713.404053356,1,20,2,1.1613300660842125,0.545910598825616,15.333333333333332,15.94444444444445,16.833333333333336,"{""3"": 20, ""7"": 1}"
global_linear,Rancher-conservation,60000000,60.0,True,26272713.404053356,1,20,2,1.1613300660842125,0.545910598825616,15.333333333333332,15.94444444444445,16.833333333333336,"{""3"": 20, ""7"": 1}"
global_linear,Hunter-recreationist,5000000,5.0,True,4979879.2719159685,0,1,3,0.389004271931069,0.6808503947229183,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
global_linear,Hunter-recreationist,10000000,10.0,True,9979558.57821384,0,5,3,0.4145739722888181,0.681852058179819,6.777777777777778,15.277777777777775,12.083333333333334,"{""3"": 5, ""10"": 4, ""11"": 12}"
global_linear,Hunter-recreationist,20000000,20.0,False,19996653.545480616,0,12,3,0.3559967204638419,0.51276676325525,13.333333333333332,17.055555555555554,14.916666666666666,"{""3"": 12, ""10"": 7, ""11"": 2}"
global_linear,Hunter-recreationist,40000000,40.0,True,23782387.46941933,0,21,1,0.3916998613853668,0.5349168467958108,15.333333333333332,16.22222222222223,17.166666666666668,"{""3"": 21}"
global_linear,Hunter-recreationist,60000000,60.0,True,23782387.46941933,0,21,1,0.3916998613853668,0.5349168467958108,15.333333333333332,16.22222222222223,17.166666666666668,"{""3"": 21}"
vector,Balanced,5000000,5.0,True,4979879.2719159685,0,1,3,0.22020940684194681,0.3122362291524723,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
vector,Balanced,10000000,10.0,False,9961939.043288872,0,4,4,0.2196454165895859,0.43684696978458043,6.0,15.38888888888889,12.791666666666668,"{""1"": 3, ""3"": 4, ""10"": 3, ""11"": 11}"
vector,Balanced,20000000,20.0,False,19994468.133580524,0,15,4,0.24093676373336,0.45241340365838095,13.222222222222218,16.111111111111114,15.958333333333332,"{""1"": 3, ""3"": 15, ""10"": 1, ""11"": 2}"
vector,Balanced,40000000,40.0,False,26135036.344053358,1,20,2,0.6790515003735765,0.2315389801892492,15.333333333333332,15.94444444444445,16.833333333333336,"{""3"": 20, ""7"": 1}"
vector,Balanced,60000000,60.0,False,26135036.344053358,1,20,2,0.6790515003735765,0.2315389801892492,15.333333333333332,15.94444444444445,16.833333333333336,"{""3"": 20, ""7"": 1}"
vector,Conservation priority,5000000,5.0,True,4979879.2719159685,0,1,3,0.22020940684194681,0.3122362291524723,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
vector,Conservation priority,10000000,10.0,True,9968270.119561905,0,3,4,0.3701081916868293,0.48381363585123605,5.333333333333334,15.38888888888889,12.75,"{""1"": 4, ""3"": 3, ""10"": 3, ""11"": 11}"
vector,Conservation priority,20000000,20.0,True,19982784.648506586,0,13,4,0.3694456360655362,0.49380146631727395,12.111111111111105,16.277777777777782,16.041666666666664,"{""1"": 5, ""3"": 13, ""10"": 2, ""11"": 1}"
vector,Conservation priority,40000000,40.0,False,31427563.515999466,4,17,2,0.8818406913959641,0.9374650911992032,15.333333333333332,14.000000000000005,14.5,"{""3"": 17, ""7"": 4}"
vector,Conservation priority,60000000,60.0,False,31427563.515999466,4,17,2,0.8818406913959641,0.9374650911992032,15.333333333333332,14.000000000000005,14.5,"{""3"": 17, ""7"": 4}"
vector,T&E emphasis,5000000,5.0,True,4979879.2719159685,0,1,3,0.22020940684194681,0.3122362291524723,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
vector,T&E emphasis,10000000,10.0,True,9968270.119561905,1,3,5,0.42528729478835614,0.48445278546952336,5.333333333333334,15.222222222222223,12.458333333333332,"{""1"": 3, ""3"": 3, ""4"": 1, ""10"": 3, ""11"": 11}"
vector,T&E emphasis,20000000,20.0,False,19947151.51967968,1,10,5,0.719685756763169,0.48314992618108965,11.888888888888884,15.777777777777782,14.583333333333332,"{""1"": 4, ""3"": 10, ""7"": 1, ""10"": 2, ""11"": 4}"
vector,T&E emphasis,40000000,40.0,False,33261176.58220142,3,18,2,0.8642302785694415,0.3033138697887346,15.333333333333332,15.388888888888895,16.166666666666664,"{""3"": 18, ""7"": 3}"
vector,T&E emphasis,60000000,60.0,False,33261176.58220142,3,18,2,0.8642302785694415,0.3033138697887346,15.333333333333332,15.388888888888895,16.166666666666664,"{""3"": 18, ""7"": 3}"
vector,Habitat emphasis,5000000,5.0,True,4979879.2719159685,0,1,3,0.22020940684194681,0.3122362291524723,1.4444444444444444,14.388888888888886,10.916666666666666,"{""3"": 1, ""10"": 1, ""11"": 19}"
vector,Habitat emphasis,10000000,10.0,True,9994671.064265842,0,5,3,0.2617973044771498,0.5028634724284211,5.555555555555556,15.055555555555557,13.166666666666666,"{""1"": 4, ""3"": 5, ""11"": 12}"
vector,Habitat emphasis,20000000,20.0,True,19977058.151837554,0,14,4,0.2657293589395182,0.4999860923607035,12.666666666666663,16.22222222222223,16.041666666666664,"{""1"": 5, ""3"": 14, ""10"": 1, ""11"": 1}"
