scenario,budget,budget_label,total_cost,objective_value,te_score,habitat_score,rancher_score,hunter_score,recreationist_score,mean_fire_risk_reduction,overall_score
Balanced,5000000,$5M,4857285.332713781,8.794333328288845,3.8873376391015193,4.16777345183163,12.333333333333332,16.222222222222225,15.111111111111109,0.005039935733728819,51.72177775759982
Balanced,10000000,$10M,9688825.9813793,9.764148185353864,6.2876617976760025,6.568097610406113,11.541666666666666,15.388888888888891,15.33333333333333,0.006446791517058819,55.119648296971
Balanced,20000000,$20M,19959781.941775933,10.92164879725138,10.316551910359925,10.596987723090034,10.041666666666666,12.611111111111112,14.444444444444441,0.008574700602370295,58.01076185567218
Balanced,40000000,$40M,39942306.110678,12.609613401147127,15.45706445148475,15.737500264214862,7.75,9.555555555555555,14.444444444444441,0.010908348153917112,62.94456471569961
Balanced,60000000,$60M,59912920.75152092,13.89323395318253,20.0,20.28043581273011,4.458333333333334,5.944444444444444,15.33333333333333,0.012168712127606023,66.01654692384122
Conservation priority,5000000,$5M,4998301.757261832,5.523753647144483,4.337251930343327,4.6176877430734375,11.333333333333332,15.555555555555559,14.222222222222218,0.005362724659780068,50.066050784527874
Conservation priority,10000000,$10M,9866822.982350755,7.491064812732387,7.034133942883762,7.3145697556138725,10.291666666666666,13.944444444444446,13.999999999999996,0.006549685344991887,52.584814809608744
Conservation priority,20000000,$20M,19927605.191619754,10.501068052247112,11.224103270054947,11.504539082785058,7.583333333333333,10.555555555555557,14.888888888888886,0.008030314262975295,55.756420130617784
Conservation priority,40000000,$40M,39857357.50226912,14.590336223590672,17.144473206456624,17.424909019186735,4.458333333333334,6.166666666666666,12.666666666666664,0.011193155786584886,57.86104889231002
Conservation priority,60000000,$60M,59083328.65396619,17.240513606552515,19.566058674857317,21.566058674857317,3.833333333333333,5.111111111111111,14.666666666666663,0.012628159969194546,64.74322846082573
T&E emphasis,5000000,$5M,4998301.757261832,5.46766648459846,4.337251930343327,4.6176877430734375,11.333333333333332,15.555555555555559,14.222222222222218,0.005362724659780068,50.066050784527874
T&E emphasis,10000000,$10M,9866822.982350755,7.434977650186364,7.034133942883762,7.3145697556138725,10.291666666666666,13.944444444444446,13.999999999999996,0.006549685344991887,52.584814809608744
T&E emphasis,20000000,$20M,19927605.191619754,10.44498088970109,11.224103270054947,11.504539082785058,7.583333333333333,10.555555555555557,14.888888888888886,0.008030314262975295,55.756420130617784
T&E emphasis,40000000,$40M,39857357.50226912,14.534249061044651,17.144473206456624,17.424909019186735,4.458333333333334,6.166666666666666,12.666666666666664,0.011193155786584886,57.86104889231002
T&E emphasis,60000000,$60M,59912920.75152092,16.985337162546013,20.0,20.28043581273011,4.458333333333334,5.944444444444444,15.33333333333333,0.012168712127606023,66.01654692384122
Habitat emphasis,5000000,$5M,4998301.757261832,5.579840809690505,4.337251930343327,4.6176877430734375,11.333333333333332,15.555555555555559,14.222222222222218,0.005362724659780068,50.066050784527874
Habitat emphasis,10000000,$10M,9996076.58714955,7.55267976708668,6.749791714760666,7.314720892076098,10.5,14.222222222222225,14.444444444444441,0.006814248484359727,53.23117927350343
Habitat emphasis,20000000,$20M,19927605.191619754,10.557155214793136,11.224103270054947,11.504539082785058,7.583333333333333,10.555555555555557,14.888888888888886,0.008030314262975295,55.756420130617784
Habitat emphasis,40000000,$40M,39885112.1920504,14.941873337205124,16.3174805603953,18.3174805603953,3.833333333333333,5.888888888888888,12.444444444444441,0.011914492075072385,56.801627787457264
Habitat emphasis,60000000,$60M,59083328.65396619,17.640513606552517,19.566058674857317,21.566058674857317,3.833333333333333,5.111111111111111,14.666666666666663,0.012628159969194546,64.74322846082573
Community priority,5000000,$5M,4762790.066426438,12.309764034344276,3.5869355986896547,3.8673714114197653,12.541666666666666,16.222222222222225,15.33333333333333,0.004987824440180637,51.55152923233164
Community priority,10000000,$10M,9936208.526205894,12.678742152389523,3.1882010857937573,3.3358871047681475,14.291666666666666,16.222222222222225,15.33333333333333,0.006303318109760636,52.371310412784126
Community priority,20000000,$20M,19990514.863423787,13.135621001000134,2.5080096297399015,2.6448670469281037,16.541666666666664,16.222222222222225,15.33333333333333,0.010009857483374771,53.25009889889022
Community priority,40000000,$40M,39648356.00150992,13.356535414197507,7.627581695726776,7.764439112914979,15.166666666666668,14.555555555555559,15.33333333333333,0.012106814914814091,60.44757636419731
